"","","s0",""
"291",23522,16.2865446218248,0
"292",20286,5.77840785276143,0
"293",19460,9.57832327961628,0
"294",26893,5.63778834009993,0
"295",26226,5.63778834009993,5
"296",25933,5.63778834009993,0
"297",25861,13.2194877232638,0
"298",26191,13.6480877587477,10
"299",27193,22.1753053358558,0
"300",27923,17.8470817774942,20
"301",22025,6.34051939713932,0
"302",7535,7.98371275177473,0
"303",20622,8.84766264047624,10
"304",16085,8.74229729016777,0
"305",23526,5.63778834009993,0
"306",20985,5.77766943535858,0
"307",24566,5.63778834009993,0
"308",21074,5.77840785276143,1
"309",21406,5.77739468304606,0
"310",21842,5.63778834009993,0
"311",5621,8.63781651186866,0
"312",23096,8.93208413633569,0
"313",20475,5.63778834009993,0
"314",7045,7.93520121845766,0
"315",22384,5.77840785276143,0
"316",22451,5.63778834009993,0
"317",1374,5.40662342735775,0
"318",2470,6.93610899335922,0
"319",21788,5.77840785276143,0
"320",20577,5.77840785276143,0
"321",22640,5.63778834009993,0
"322",23251,5.63778834009993,0
"323",7164,6.44603098256212,0
"324",6012,6.94912177921257,0
"325",21628,5.63778834009993,0
"326",22789,15.7505147589977,0
"327",20797,5.63778834009993,0
"328",13378,5.75392360034894,0
"329",1410,8.1516065458349,10
"330",14257,8.53020870799937,0
"331",22688,7.55401313781057,0
"332",24588,10.7066624781884,0
"333",16745,9.87010394467218,0
"334",18252,9.28132384861421,0
"335",6711,11.9996066650327,20
"336",18689,6.55396694019011,0
"337",24892,9.57832327961628,0
"338",24288,9.57832327961628,0
"339",24239,9.57832327961628,0
"340",11459,9.87234197160898,0
"341",21403,9.57832327961628,0
"342",6579,15.5645129831868,10
"343",21362,13.2194877232638,0
"344",21022,9.86606697528852,0
"345",7207,13.3665904709278,10
"346",25172,9.57832327961628,10
"347",16160,11.4134541588704,10
"348",20289,13.2194877232638,0
"349",21678,9.57832327961628,5
"350",18779,6.55396694019011,0
"351",18913,10.7831973238797,20
"352",20702,6.55396694019011,0
"353",12145,22.1753053358558,10
"354",16626,10.2165597904066,0
"355",19902,22.1753053358558,0
"356",23418,22.1753053358558,0
"357",16521,17.8470817774942,0
"358",24263,26.6327584338326,0
"359",16419,22.1753053358558,0
"360",60684,9.57832327961628,0
"361",44883,5.63778834009993,0
"362",32172,5.63778834009993,0
"363",31961,9.57832327961628,0
"364",14787,5.81993645216613,0
"365",27934,4.0357123917443,3
"366",18004,3.46667734238083,0
"367",5259,9.05132417520333,10
"368",25224,5.63778834009993,0
"369",5192,5.29472876632743,0
"370",27291,9.53741139540445,10
"371",9764,5.77720629830714,5
"372",20054,5.77766943535858,0
"373",23694,5.77840785276143,0
"374",4407,9.11292849337614,15
"375",13628,5.77739468304606,0
"376",24350,5.63778834009993,0
"377",12253,5.4738940403172,0
"378",23167,5.77766943535858,0
"379",23117,5.77840785276143,0
"380",10150,5.91470869088015,0
"381",22828,5.63778834009993,0
"382",8673,5.71087715288215,0
"383",24249,5.63778834009993,0
"384",18417,5.77739468304606,5
"385",21584,5.77766943535858,0
"386",24313,5.77840785276143,0
"387",18026,6.19785642980414,0
"388",7063,9.09085113769238,0
"389",21736,5.77766943535858,0
"390",26842,5.63778834009993,0
"391",14893,6.41036152112143,0
"392",23627,6.55396694019011,0
"393",9265,9.09831265364844,0
