"","","s0"
"131",11444,-0.184724338548421
"132",5290,34.1424568100279
"133",5552,0.0970445540934409
"134",19023,0.00195656702199398
"135",10409,-0.0233701865257787
"136",17742,0.0281131665245873
"137",25240,0.0291988980563317
"138",62315,0.134638726656031
"139",60514,37.574837263324
"140",24421,-0.122696576261369
"141",24675,0.0413081164825012
"142",25128,9.06765775745898
"143",24803,-0.113245724088316
"144",24507,0.0339962621865516
"145",25072,-0.00821682405923055
"146",19317,0.0857870014869413
"147",7092,-0.0151754635108157
"148",2619,-0.162849491372857
"149",18802,0.202900579468007
"150",24166,-0.136619216248117
"151",23920,0.315976643331911
"152",24130,-0.00406558572220577
"153",23359,-0.0112535939314731
"154",23739,0.00986188604210202
"155",24006,4.62366793439091
"156",23712,0.0433476810150786
"157",23665,-0.0938700029330473
"158",19713,0.048317244207706
"159",9617,-0.343926782597282
"160",22540,0.0517587099818413
"161",22843,0.0779718122297768
"162",22583,-0.281449156845308
"163",21719,0.00149230056762333
"164",21768,0.0539217637132416
"165",22437,0.0434051374904739
"166",22873,3.04462753661437e-05
"167",23121,-0.0318094519434093
"168",22779,8.9706309348509
"169",22293,4.41102826789459
"170",22558,-0.201682904136455
"171",22054,9.86012320700209
"172",22284,-0.244446805938481
"173",23129,0.342920205471372
"174",21871,0.792365693948636
"175",22736,0.00546229952502209
"176",19264,0.123695353174684
"177",19591,0.0673680534966814
"178",20100,4.68661190146765
"179",18866,0.0720181230885918
"180",10797,0.0702032494059829
"181",5148,21.9440940598051
"182",6811,-0.500328414301096
"183",18206,0.0246524482034063
"184",17611,0.335261070560741
"185",4597,4.71602880315904
"186",21055,0.0535994011390264
"187",9111,-0.261702109366192
"188",997,4.71218717320618
"189",19632,-0.0177456119170797
"190",5955,4.01584849543334
"191",3697,10.0294836293344
"192",18182,-0.214563166256524
"193",16017,-0.239122243890124
"194",21082,0.158961738631783
"195",17538,9.90291488330191
"196",13883,0.195009349859226
"197",20034,-0.0735195655103494
"198",18658,3.2112811817585
"199",7803,19.3450694214657
"200",17373,-0.161431380472665
"201",18838,-0.243981790495768
"202",20659,-0.266583623706915
"203",3689,24.0721711370155
"204",9099,-0.369247806248487
"205",19687,0.714908520285762
"206",7873,-0.18739575914608
